ts_code,trade_date,close,open,high,low,ret_close_1d,ret_close_3d,ret_close_5d,close_ma5_ratio,close_ma10_ratio,close_range_pos_5d,close_drawdown_10d,close_vol_5d,overnight_prev_1d,overnight_prev_3d_mean,overnight_prev_5d_mean,overnight_prev_5d_std,overnight_positive_rate_5d,name,industry,market
300418.SZ,2026-06-26,38.75,40.0,40.5,38.72,-0.05024509803921562,-0.07407407407407407,-0.09883720930232553,-0.06680473942780085,-0.041837693486968974,0.004524886877828224,-0.1522642747757602,0.03717658498337796,-0.019607843137254832,-0.007730690842645253,-0.009070170576077109,0.008500383714921724,0.0,昆仑万维,互联网,创业板
300496.SZ,2026-06-26,59.2,61.5,61.5,59.18,-0.043927648578811374,-0.06121154456073574,-0.10112359550561789,-0.05552010210593472,-0.0515556410009933,0.002739726027397687,-0.10950661853188925,0.02604262856851326,-0.006782945736434121,-0.007848898244725233,-0.0076240514121093785,0.0015639085740946617,0.0,中科创达,软件服务,创业板
300413.SZ,2026-06-26,14.35,14.77,14.85,14.34,-0.0356182795698925,-0.06939040207522695,-0.07657657657657657,-0.049291109049953596,-0.07185822391824581,0.0063291139240504975,-0.11583487369069634,0.019087862136400287,-0.007392473118279619,0.005576628662446385,0.002077746379458967,0.009541730879695613,0.4,芒果超媒,影视音像,创业板
300498.SZ,2026-06-26,12.16,11.92,12.5,11.76,0.03754266211604085,0.0007406797794420328,-8.2230079763157e-05,0.011445302102741639,-0.012000617499614119,0.568285976168653,-0.0696962741947823,0.025352941987964277,0.017064846416382284,0.005568453631769166,0.002842473291710568,0.009472355070446824,0.6,温氏股份,农业综合,创业板
300450.SZ,2026-06-26,40.83,43.69,43.87,40.8,-0.07098976109215027,-0.07853757616790802,-0.12625722234110848,-0.07924409164712243,-0.09220268137047827,0.004366812227074399,-0.17615012106537542,0.04280874780515694,-0.005915813424345995,9.428507966961301e-08,-0.0033354679354806517,0.007686448633432241,0.2,先导智能,专用机械,创业板
300433.SZ,2026-06-26,55.59,54.32,57.48,53.0,-0.0023330940416366186,0.042573143285821624,-0.0032275416890801267,0.02428508254716988,0.0819174402989431,0.6411837237977809,-0.04974358974358972,0.03232245739894322,-0.025125628140703515,-0.009080979171132783,-0.0014692589911653009,0.018625624837622194,0.4,蓝思科技,元器件,创业板
300408.SZ,2026-06-26,160.05,157.11,164.49,154.9,-0.02181884855152183,0.10000000000000009,0.013680410412312494,0.038557375347159084,0.0593304475596681,0.7828947368421059,-0.03966158646345841,0.07260913501951576,-0.03978731206453978,-0.0035301455004019453,0.0014108191562805627,0.025102896427924508,0.4,三环集团,元器件,创业板
300454.SZ,2026-06-26,89.3,95.15,95.99,89.21,-0.07172557172557181,-0.07191852005819999,-0.11767611896057695,-0.07095297544735757,-0.08994836246755444,0.00680272108843563,-0.14406211061056262,0.038414129751802105,-0.010914760914760846,-4.74751033069006e-05,-0.004641207632711563,0.00879086545491784,0.4,深信服,软件服务,创业板
300502.SZ,2026-06-26,566.0,598.0,598.0,550.0,-0.07287588658290878,0.0253623188405796,-0.026621723877003567,-0.011788697376875268,0.01088216435943834,0.3672316384180793,-0.07334643091028148,0.06612465904428957,-0.020458975576995497,-0.003998360728678503,-0.0032117493969757716,0.010318594838970898,0.4,新易盛,通信设备,创业板
300628.SZ,2026-06-26,33.28,33.47,33.8,32.71,-0.013925925925925897,0.023055640946818334,0.00240963855421672,0.0,-0.00635953781387133,0.5876288659793825,-0.05239179954441908,0.022951839319056585,-0.008296296296296357,-0.0022530845221695093,-0.0011620970526149189,0.004417954117987073,0.4,亿联网络,通信设备,创业板
000963.SZ,2026-06-26,26.41,27.89,28.33,26.41,-0.05306561491574047,-0.08679114799446752,-0.06810162314749468,-0.05846702317290553,-0.06566192598882059,0.0,-0.11077441077441075,0.02664104638841291,0.0,-0.0020277685977388624,-0.0032546070190704103,0.0043735494458311385,0.2,华东医药,化学制药,主板
000895.SZ,2026-06-26,22.8,22.57,23.08,22.47,0.005734450816056391,0.0008779631255486642,0.0004387889425188085,0.0028149190710766714,-0.01460800414901886,0.5280898876404518,-0.06557377049180324,0.00630723646578445,-0.004411116012351224,-0.0013240448165256307,-0.0010585064293366698,0.0021308206000306257,0.4,双汇发展,食品,主板
300661.SZ,2026-06-26,131.55,139.0,141.02,129.0,-0.048669366502748,-0.040901137357830186,-0.009188822776229566,-0.03453792860497873,0.010857788330759233,0.18214285714285797,-0.08006993006993002,0.028849229011829673,0.005206826728377134,-0.0007012046151232779,-0.0012863675460764278,0.014603879033976919,0.6,圣邦股份,半导体,创业板
300750.SZ,2026-06-26,381.0,401.0,409.81,381.0,-0.0520029858173674,-0.02932409365366484,-0.026944196143532162,-0.037757292587447866,-0.039523240512455926,0.0,-0.07979905323157188,0.04037096056817082,-0.002239363025628216,0.0026313084647076415,0.0033072545941873034,0.00491582945631152,0.6,宁德时代,电气设备,创业板
300919.SZ,2026-06-26,42.72,46.37,47.24,42.72,-0.08659397049390638,-0.1101853780462404,-0.12171052631578949,-0.09934221622533312,-0.11253297878970436,0.0,-0.17528957528957523,0.056063310510491265,-0.008552490912978494,-0.0064491468903828215,-0.005591597917765223,0.009915974191360446,0.2,中伟新材,电气设备,创业板
